iter	RMSE
0	0.8882017397
1	0.8695014241
2	0.8525533359
3	0.8353705728
4	0.8182034273
5	0.8029427767
6	0.7866245328
7	0.7725718029
8	0.7583406166
9	0.7453030977
10	0.7311158642
11	0.7175194605
12	0.704393514
13	0.6918211355
14	0.6796535395
15	0.6675240483
16	0.6566318299
17	0.6458867183
18	0.6350280175
19	0.6253555065
20	0.6156482426
21	0.6071028881
22	0.5976719489
23	0.5893602893
24	0.5816607267
25	0.5734928685
26	0.565514719
27	0.5583913863
28	0.5512365968
29	0.5450260982
30	0.5387639181
31	0.5321055326
32	0.526037361
33	0.519903421
34	0.5147949056
35	0.5093900875
36	0.5045168693
37	0.4996066547
38	0.4949780329
39	0.4905894592
40	0.4863270345
41	0.4822590842
42	0.4783537031
43	0.4744090361
44	0.4708040997
45	0.4670484093
46	0.4639495072
47	0.4607094285
48	0.4571711679
49	0.4538631318
50	0.4504825829
51	0.447210091
52	0.4448611154
53	0.4419729968
54	0.4394847195
55	0.4372757482
56	0.4350490564
57	0.4330775554
58	0.4310733108
59	0.4287216038
60	0.426560813
61	0.4247216847
62	0.4225979733
63	0.42056757
64	0.4189811133
65	0.4169962922
66	0.415137297
67	0.4131929819
68	0.4116129539
69	0.4102130023
70	0.4090963541
71	0.4075233311
72	0.405930638
73	0.4046636046
74	0.4036579414
75	0.4023648204
76	0.401062485
77	0.4000470555
78	0.3988829714
79	0.3978837788
80	0.3967234053
81	0.3958313032
82	0.3949453104
83	0.3938857709
84	0.3930560872
85	0.3924757432
86	0.3916861928
87	0.3908234184
88	0.3899895013
89	0.3891774057
90	0.3887540474
91	0.3882502649
92	0.3874588523
93	0.386696488
94	0.3861900612
95	0.3856260979
96	0.3850128254
97	0.3844196018
98	0.3838895942
99	0.3834822887
100	0.3830148911
101	0.3825572875
102	0.3822274783
103	0.3817383294
104	0.381268348
105	0.380805836
106	0.3804884302
107	0.3803108661
108	0.3799099851
109	0.3796404816
110	0.3792587351
111	0.3787107253
112	0.3779914429
113	0.3776323034
114	0.377251814
115	0.3769269489
116	0.3764424154
117	0.3761966704
118	0.3758255977
119	0.3755875846
120	0.3755110109
121	0.3751003509
122	0.374907168
123	0.3745618549
124	0.3742989136
125	0.3740431999
126	0.3738609754
127	0.3735842406
128	0.3733501838
129	0.3731662053
130	0.3728917466
131	0.372743774
132	0.3724405138
133	0.3720226071
134	0.3716763286
135	0.3714799328
136	0.3712567738
137	0.3710830235
138	0.3708216825
139	0.3706759716
140	0.3704750632
141	0.3703112204
142	0.3700049294
143	0.3697352194
144	0.3695353186
145	0.3693273972
146	0.3691627359
147	0.3689721947
148	0.3688000852
149	0.3686847795
150	0.3684108276
151	0.368223295
152	0.3679947044
153	0.3676700664
154	0.3673265753
155	0.3671853912
156	0.3670641553
157	0.366888637
158	0.3664355598
159	0.3661986777
160	0.3659985665
161	0.3657986808
162	0.3656829827
163	0.3655500108
164	0.3654135121
165	0.3653307711
166	0.3651613374
167	0.3650485793
168	0.364912139
169	0.3647586646
170	0.3646792869
171	0.3642715435
172	0.3639817037
173	0.3638413008
174	0.363668045
175	0.3635682681
176	0.3633747068
177	0.3632348349
178	0.3630735942
179	0.3630139527
180	0.3628406099
181	0.3626988901
182	0.3625206051
183	0.3623892282
